	Facies	Formation	Well Name	Depth	GR	ILD_log10	DeltaPHI	PHIND	PE	NM_M	RELPOS
0	3	A1 SH	SHRIMPLIN	2793.0	78.2856818287	0.664	11.3167717423	12.1787654857	4.36812044152	1	1.0
1	3	A1 SH	SHRIMPLIN	2793.5	81.8536833275	0.661	13.1950678433	12.657044706	4.05225595772	1	0.979
2	3	A1 SH	SHRIMPLIN	2794.0	77.2135747521	0.658	14.0793476517	12.629099807	3.74259414541	1	0.957
3	3	A1 SH	SHRIMPLIN	2794.5	81.1908616998	0.655	14.3450708946	13.3098447068	3.48056147858	1	0.936
4	3	A1 SH	SHRIMPLIN	2795.0	79.4277731678	0.647	14.0638343841	13.3958179999	3.49820534939	1	0.915
5	3	A1 SH	SHRIMPLIN	2795.5	73.4559747281	0.636	14.4111814488	13.4286942516	3.56391737339	1	0.894
6	3	A1 SH	SHRIMPLIN	2796.0	76.3035470307	0.63	15.621909831	13.8420582074	3.60654182636	1	0.872
7	3	A1 SH	SHRIMPLIN	2796.5	73.3677194976	0.625	16.0886231921	14.087622119	3.54023706767	1	0.83
8	3	A1 SH	SHRIMPLIN	2797.0	75.3073965308	0.624	16.7659770218	14.0099517836	3.45502710621	1	0.809
9	3	A1 SH	SHRIMPLIN	2797.5	75.5604575698	0.615	16.1779463066	13.8366135931	3.49771410712	1	0.787
10	3	A1 SH	SHRIMPLIN	2798.0	73.481523922	0.6	14.7518733749	13.4570208263	3.59211919834	1	0.766
11	3	A1 SH	SHRIMPLIN	2798.5	75.208689088	0.583	13.1068629591	12.7991385219	3.64464680609	1	0.745
12	3	A1 SH	SHRIMPLIN	2799.0	75.9571213382	0.561	12.4313027197	13.1859336004	3.51216544674	1	0.723
13	3	A1 SH	SHRIMPLIN	2799.5	81.761012873	0.537	13.1002216188	14.6626104873	3.34990158036	1	0.702
14	2	A1 SH	SHRIMPLIN	2800.0	85.3086048883	0.519	13.2960092473	15.9979476303	3.24343562908	1	0.681
15	2	A1 SH	SHRIMPLIN	2800.5	78.3179195255	0.467	12.3246043595	16.0926795579	3.13987389992	1	0.638
16	2	A1 SH	SHRIMPLIN	2801.0	73.2286936517	0.438	10.0755480166	15.3363920274	3.05027023744	1	0.617
